,ID,genre,positive,negative,anger,disgust,fear,sadness,anticipation,joy,surprise,trust
0,214,Allegories,0.08239663766982648,0.12970384126673515,0.05981819958948352,0.02639038217183082,0.07496823379923752,0.06753982992864856,0.06235949565047466,0.047111719284527814,0.050337210438862724,0.06235949565047466
1,387,Sea and Adventure,0.08756137479541724,0.08756137479541724,0.04009819967266776,0.01963993453355156,0.03846153846153847,0.027823240589198054,0.04337152209492635,0.03436988543371524,0.03927986906710312,0.07364975450081826
2,200,Allegories,0.10836594911937247,0.07729941291585085,0.031066536203522503,0.017367906066536203,0.039383561643835614,0.05332681017612524,0.06824853228962802,0.0511252446183953,0.03840508806262231,0.06629158512720146
3,311,Love and Romance,0.09212549108922065,0.07754939361156989,0.032568467801628344,0.013551215623754564,0.04110914991744038,0.03655411945567396,0.054888117064283794,0.04725844104082504,0.0456641803792068,0.0612082218299847
4,251,Ghost and Horror,0.09782960803369009,0.10009718172983523,0.04437965662455473,0.025267249757045723,0.051506316812439445,0.057013281503077634,0.05668934240362833,0.045351473922902646,0.03919663103336585,0.057013281503077634
5,183,Christmas Stories,0.08287795992714032,0.10564663023679438,0.04007285974499086,0.021857923497267756,0.03916211293260471,0.06466302367941708,0.04098360655737702,0.043715846994535484,0.035519125683060086,0.04462659380692164
6,278,Humorous and Wit and Satire,0.08254771211772853,0.08013336399172244,0.03092664980455258,0.015750747298229496,0.03483559438951459,0.037020004598758066,0.05173603127155621,0.0351805012646583,0.042653483559438606,0.059783858358242695
7,304,Humorous and Wit and Satire,0.07420574459680422,0.10970035551040792,0.04576491168669886,0.022910670955363692,0.05310084081033715,0.05355228260256104,0.051182213193385596,0.03397099486484962,0.04740138818351048,0.0455956210146149
8,393,Sea and Adventure,0.07579892596179197,0.0932300378554434,0.039087947882736354,0.013293423716876446,0.05044458138920712,0.04974029403996862,0.045250462188573204,0.03565454705519868,0.04762743199225313,0.051853156087684114
9,106,Detective and Mystery,0.08139784946236517,0.07505376344085983,0.03967741935483853,0.014408602150537606,0.04741935483870945,0.03397849462365577,0.052795698924730926,0.02978494623655902,0.03741935483870951,0.052795698924730926
10,233,Christmas Stories,0.08253521126760602,0.08957746478873284,0.039718309859154956,0.02281690140845069,0.03549295774647886,0.047605633802816995,0.05098591549295787,0.03887323943661974,0.04507042253521134,0.055492957746479034
11,318,Love and Romance,0.10095631946239698,0.07490307573016337,0.027604032049624895,0.012561385370896794,0.0432153011113977,0.04094081157921888,0.05034892737141309,0.05955027138795468,0.05686223830447062,0.05960196433186783
12,136,Christmas Stories,0.08253521126760602,0.08957746478873284,0.039718309859154956,0.02281690140845069,0.03549295774647886,0.047605633802816995,0.05098591549295787,0.03887323943661974,0.04507042253521134,0.055492957746479034
13,281,Humorous and Wit and Satire,0.08254771211772853,0.08013336399172244,0.03092664980455258,0.015750747298229496,0.03483559438951459,0.037020004598758066,0.05173603127155621,0.0351805012646583,0.042653483559438606,0.059783858358242695
14,107,Detective and Mystery,0.058081276674707874,0.07506030803488606,0.028112822416032718,0.013082204490629079,0.03794767118203757,0.035349786602338173,0.04017442939320848,0.022453145295973323,0.042308406012247265,0.038411579142698174
15,368,Literary,0.07201770267551634,0.07473345403339193,0.03463421176154985,0.0171662308053377,0.03852343592838403,0.03607590692684183,0.035606517803258395,0.035338295446925,0.042513243478843235,0.03892576946288412
16,334,Western Stories,0.10597201921068838,0.12455627479640444,0.041553560242221795,0.01743579035289206,0.06849029024848578,0.06389642931718519,0.06786385466694479,0.038316976404259795,0.0442681144288996,0.07162246815619074
17,342,Literary,0.08030933967876103,0.08149910767400192,0.03252032520325162,0.016326260823583842,0.04527728204111236,0.051887104236895125,0.05082953268556988,0.047921210919425465,0.040319915394275284,0.05466322955912389
18,190,Allegories,0.10836594911937247,0.07729941291585085,0.031066536203522503,0.017367906066536203,0.039383561643835614,0.05332681017612524,0.06824853228962802,0.0511252446183953,0.03840508806262231,0.06629158512720146
19,299,Humorous and Wit and Satire,0.0749974245389928,0.10404862470382403,0.045431132172658616,0.01710106108993503,0.049448851344390324,0.0429586896054391,0.04728546409807325,0.03430514062017081,0.043370763366642355,0.052539404553414715
20,211,Allegories,0.08239663766982648,0.12970384126673515,0.05981819958948352,0.02639038217183082,0.07496823379923752,0.06753982992864856,0.06235949565047466,0.047111719284527814,0.050337210438862724,0.06235949565047466
21,340,Literary,0.09310254392866599,0.061500131130343146,0.020325203252032513,0.008261211644374522,0.024390243902438977,0.029897718332021928,0.050222921584054246,0.040125885129818836,0.038158929976396354,0.06268030422239665
22,170,Love and Romance,0.09512087912088026,0.09617582417582533,0.031999999999999765,0.014857142857142881,0.04272527472527472,0.05274725274725296,0.04835164835164847,0.0575824175824179,0.047120879120879214,0.05274725274725296
23,143,Love and Romance,0.07929554017348603,0.07780601068956419,0.030842022255322753,0.015421011127661385,0.03460965565583093,0.0386401472005606,0.042758258126697445,0.03767633400508177,0.0381144309121176,0.04836589853675612
24,192,Allegories,0.10836594911937247,0.07729941291585085,0.031066536203522503,0.017367906066536203,0.039383561643835614,0.05332681017612524,0.06824853228962802,0.0511252446183953,0.03840508806262231,0.06629158512720146
25,374,Literary,0.08824659112732745,0.10130593431918376,0.04042634914538143,0.016516228154407488,0.05761474937584061,0.04513155367774176,0.049452659880929825,0.04878048780487835,0.05127712694449812,0.04868446322258528
26,357,Literary,0.07167146220245835,0.09351294794663893,0.040674862673293045,0.01726392885168718,0.048652890400208884,0.04355218414857417,0.039497776615223495,0.03086581218938012,0.046821867643211806,0.05074548783677697
27,402,Sea and Adventure,0.08328115216030009,0.0884992694635768,0.032352327280317464,0.014402003757044432,0.03882279273638101,0.0464412439991655,0.049989563765393895,0.03496138593195599,0.053016071801294584,0.06063452306407908
28,350,Literary,0.10105662422107943,0.08845841235437642,0.03684638309401247,0.015849363316174505,0.04944459496071548,0.041587645624492096,0.06014630181522664,0.03847195881874834,0.046057978867515746,0.06922243294500192
29,396,Sea and Adventure,0.0774634146341464,0.11297560975609765,0.03707317073170734,0.0158048780487805,0.05151219512195126,0.06917073170731712,0.054439024390243944,0.040097560975609785,0.05121951219512199,0.05473170731707321
30,152,Western Stories,0.08076009501187634,0.08646080760094996,0.03752969121140138,0.012351543942992878,0.03800475059382418,0.03420427553444177,0.04560570071258901,0.02755344418052254,0.03800475059382418,0.058907363420427454
31,154,Western Stories,0.06820434868812318,0.09133566849514348,0.04698962395082905,0.01771198202366001,0.04137201771198185,0.04117374925649313,0.039851959553234964,0.026700152005815995,0.041966823078448026,0.04540347630691925
32,292,Humorous and Wit and Satire,0.08254771211772853,0.08013336399172244,0.03092664980455258,0.015750747298229496,0.03483559438951459,0.037020004598758066,0.05173603127155621,0.0351805012646583,0.042653483559438606,0.059783858358242695
33,126,Detective and Mystery,0.06696263411024864,0.0938463435688755,0.039585645578986424,0.018991244296460687,0.04501171537797533,0.0480947095819463,0.041682081637686684,0.02737698853126149,0.045628314218769526,0.05352077938093521
34,412,Sea and Adventure,0.08180459301535578,0.10735154232912139,0.038048647914118945,0.01766544367441234,0.0489196901752958,0.06237260497350216,0.04905557820356051,0.03125424650088341,0.049735018344884065,0.0565294197581196
35,277,Ghost and Horror,0.09782960803369009,0.10009718172983523,0.04437965662455473,0.025267249757045723,0.051506316812439445,0.057013281503077634,0.05668934240362833,0.045351473922902646,0.03919663103336585,0.057013281503077634
36,391,Sea and Adventure,0.07688060731538941,0.0995169082125588,0.03823326432022094,0.01808143547273986,0.03726708074534171,0.05990338164251224,0.04430641821946182,0.02636300897170469,0.053968253968254117,0.05438233264320236
37,410,Sea and Adventure,0.08412597759459044,0.10540407243007342,0.04424716409497663,0.017332487846121354,0.062002395547101505,0.04692454026632879,0.05890227576974637,0.02536461636017745,0.04960191643768096,0.06024096385542245
38,282,Humorous and Wit and Satire,0.07420574459680422,0.10970035551040792,0.04576491168669886,0.022910670955363692,0.05310084081033715,0.05355228260256104,0.051182213193385596,0.03397099486484962,0.04740138818351048,0.0455956210146149
39,400,Sea and Adventure,0.10460752215922502,0.11754371955601405,0.04982831589874692,0.021720035135351035,0.06699672602411617,0.06292421943623815,0.06779525672762167,0.0458356623812191,0.03729138385370955,0.06428172163219749
40,363,Literary,0.09130207591088237,0.09757256187354442,0.042943328107928044,0.01710132535271473,0.0512564723766088,0.041613225024939124,0.05149399078428539,0.03776542682057832,0.04417842382784633,0.062372333855873346
41,173,Western Stories,0.10597201921068838,0.12455627479640444,0.041553560242221795,0.01743579035289206,0.06849029024848578,0.06389642931718519,0.06786385466694479,0.038316976404259795,0.0442681144288996,0.07162246815619074
42,315,Love and Romance,0.09512087912088026,0.09617582417582533,0.031999999999999765,0.014857142857142881,0.04272527472527472,0.05274725274725296,0.04835164835164847,0.0575824175824179,0.047120879120879214,0.05274725274725296
43,373,Literary,0.08601268183513455,0.1022752704214824,0.04423722491607584,0.01984334203655353,0.05766505035434471,0.052368519209249766,0.04841477060798171,0.03834390152928006,0.04625139873181617,0.055277881387541354
44,343,Literary,0.093946470271242,0.061972336985808514,0.028561164002155737,0.010328722830968223,0.03224357822884874,0.030177833662655123,0.04625471528650954,0.049398239626369335,0.04832045985270312,0.06251122687264163
45,263,Ghost and Horror,0.08389089037570781,0.0730828615542975,0.023674729799279454,0.011837364899639735,0.03602676273803393,0.03396809058157485,0.05815748841996903,0.03860010293360778,0.045805455481214556,0.05815748841996903
46,271,Ghost and Horror,0.10786336542870437,0.10178817056396311,0.046538285190279444,0.02143512150389728,0.0507794589637778,0.04860155891792729,0.05547913801008679,0.04894543787253527,0.04275561668959172,0.07095369096744616
47,274,Ghost and Horror,0.10361810949043472,0.07937109301003999,0.030687630232998597,0.01420723621898089,0.03864368251562783,0.04034855086190552,0.06042811138473168,0.03750710361810937,0.04243227884068937,0.07293047925743514
48,256,Ghost and Horror,0.10361810949043472,0.07937109301003999,0.030687630232998597,0.01420723621898089,0.03864368251562783,0.04034855086190552,0.06042811138473168,0.03750710361810937,0.04243227884068937,0.07293047925743514
49,238,Christmas Stories,0.07370710488158512,0.09859835669405484,0.03407443209279838,0.012566457225712894,0.03939101014983075,0.05340744320927972,0.04809086515224735,0.04229096181730295,0.04204929917834693,0.05389076848719175
50,225,Christmas Stories,0.08287795992714032,0.10564663023679438,0.04007285974499086,0.021857923497267756,0.03916211293260471,0.06466302367941708,0.04098360655737702,0.043715846994535484,0.035519125683060086,0.04462659380692164
51,201,Allegories,0.08239663766982648,0.12970384126673515,0.05981819958948352,0.02639038217183082,0.07496823379923752,0.06753982992864856,0.06235949565047466,0.047111719284527814,0.050337210438862724,0.06235949565047466
52,261,Ghost and Horror,0.07754765827253471,0.09496352082843021,0.035655448340786065,0.018121911037891267,0.04636385031772181,0.04259825841374441,0.05718992704165685,0.03518474935278889,0.038832666509767,0.05942574723464344
53,403,Sea and Adventure,0.11365437970669581,0.09453032104637193,0.04201347602061063,0.01912405866032501,0.054399524375743545,0.04726516052318699,0.06302021403091601,0.03904082441537873,0.043896155370590835,0.07659532302814073
54,207,Allegories,0.10836594911937247,0.07729941291585085,0.031066536203522503,0.017367906066536203,0.039383561643835614,0.05332681017612524,0.06824853228962802,0.0511252446183953,0.03840508806262231,0.06629158512720146
55,371,Literary,0.12111506524318082,0.09608540925267023,0.04519572953736672,0.019810201660735462,0.051957295373665786,0.05100830367734311,0.058956109134045524,0.04839857651245575,0.03499406880189795,0.07568208778173269
56,303,Humorous and Wit and Satire,0.08254771211772853,0.08013336399172244,0.03092664980455258,0.015750747298229496,0.03483559438951459,0.037020004598758066,0.05173603127155621,0.0351805012646583,0.042653483559438606,0.059783858358242695
57,222,Christmas Stories,0.10059612518628908,0.08569299552906107,0.04023845007451563,0.017883755588673615,0.043219076005961234,0.05588673621460504,0.05514157973174364,0.05812220566318924,0.04172876304023843,0.06482861400894185
58,133,Detective and Mystery,0.067835232252411,0.09973707274320909,0.04732690622261224,0.017440841367221734,0.03882559158632814,0.03935144609991272,0.04198071866783564,0.025679228746713547,0.04688869412795842,0.04837861524978141
59,336,Western Stories,0.11098232396407234,0.11982034192988014,0.04650825847580387,0.01543031005505647,0.0742538394668219,0.059040857722398976,0.07649956534337962,0.04194436395247733,0.05411474934801477,0.07352941176470651
60,329,Western Stories,0.06856657297862531,0.0915746127197867,0.04536244198967175,0.017256029805869624,0.04255180077129154,0.04032943329629323,0.03967579580364667,0.02823713968233185,0.04660435322570022,0.04222498202496826
61,254,Ghost and Horror,0.10786336542870437,0.10178817056396311,0.046538285190279444,0.02143512150389728,0.0507794589637778,0.04860155891792729,0.05547913801008679,0.04894543787253527,0.04275561668959172,0.07095369096744616
62,356,Literary,0.08963585434173646,0.0932773109243695,0.03697478991596633,0.014845938375350157,0.041736694677871077,0.04901960784313716,0.04817927170868338,0.04817927170868338,0.04229691876750693,0.07450980392156845
63,341,Literary,0.073460076045627,0.0833460076045623,0.03650190114068426,0.01916349809885927,0.04372623574144467,0.051787072243345764,0.040380228136881954,0.034600760456273624,0.03140684410646376,0.04342205323193897
64,266,Ghost and Horror,0.07323518308795736,0.09701774254435584,0.05039637599093976,0.027935069837674523,0.04322385805964498,0.061910154775386646,0.040203850509626125,0.02472631181577949,0.03624009060022638,0.0526613816534539
65,300,Humorous and Wit and Satire,0.0745428973277075,0.10220346929207805,0.05157055789967159,0.021683075480543882,0.04512423816221273,0.04547585560243776,0.03504453820909525,0.03563056727613696,0.043952180028129305,0.04465541490857936
66,293,Humorous and Wit and Satire,0.0749974245389928,0.10404862470382403,0.045431132172658616,0.01710106108993503,0.049448851344390324,0.0429586896054391,0.04728546409807325,0.03430514062017081,0.043370763366642355,0.052539404553414715
67,191,Allegories,0.08239663766982648,0.12970384126673515,0.05981819958948352,0.02639038217183082,0.07496823379923752,0.06753982992864856,0.06235949565047466,0.047111719284527814,0.050337210438862724,0.06235949565047466
68,409,Sea and Adventure,0.08474801943945107,0.07709207110045947,0.03455162772119022,0.014246721256906937,0.039544637507489606,0.03781372744823915,0.05126156713933883,0.030024632181612176,0.04180813527727866,0.058784368550696575
69,240,Christmas Stories,0.10059612518628908,0.08569299552906107,0.04023845007451563,0.017883755588673615,0.043219076005961234,0.05588673621460504,0.05514157973174364,0.05812220566318924,0.04172876304023843,0.06482861400894185
70,376,Literary,0.08536276002029426,0.07343987823439878,0.03209030948756976,0.01610857432775241,0.037798072044647385,0.027904616945712835,0.049974632166412986,0.04071537290715373,0.040969051243023843,0.061516996448503294
71,306,Love and Romance,0.09061325253885458,0.09167929080401764,0.03961173764237189,0.01576614486898957,0.04645682545026019,0.04314649610054372,0.05358244964371768,0.046625147281601706,0.056780564439206475,0.057173315379003345
72,108,Detective and Mystery,0.0918773408239685,0.10732677902621482,0.03593164794007498,0.016268726591760325,0.05500936329588027,0.05653089887640462,0.05407303370786529,0.038506554307116185,0.053253745318352176,0.07397003745318301
73,358,Literary,0.12974852862493377,0.10647405029427567,0.046281433921883434,0.013911182450508274,0.06661316211878036,0.048689138576779124,0.07998929909042309,0.05270197966827194,0.055912252541466194,0.07410379882290029
74,248,Christmas Stories,0.10059612518628908,0.08569299552906107,0.04023845007451563,0.017883755588673615,0.043219076005961234,0.05588673621460504,0.05514157973174364,0.05812220566318924,0.04172876304023843,0.06482861400894185
75,227,Christmas Stories,0.09065531759106667,0.08090792604795931,0.03226249313563959,0.013545670876807534,0.036792970895112714,0.04672341204466491,0.05280981145890658,0.04649460003661071,0.041414973457807515,0.05921654768442412
76,209,Allegories,0.08239663766982648,0.12970384126673515,0.05981819958948352,0.02639038217183082,0.07496823379923752,0.06753982992864856,0.06235949565047466,0.047111719284527814,0.050337210438862724,0.06235949565047466
